time: 14/01/2020 - 16:53:28
###########   TRAINING STARTED  ############
Iter =   1550/ 10000, loss_seg = 0.2850 loss_adv = 0.0019, loss_weight = 0.0176, loss_D_s = 0.7129 loss_D_t = 0.4664
Iter =   1560/ 10000, loss_seg = 0.2002 loss_adv = 0.0019, loss_weight = 0.0176, loss_D_s = 0.4622 loss_D_t = 0.6851
Iter =   1570/ 10000, loss_seg = 0.5134 loss_adv = 0.0013, loss_weight = 0.0176, loss_D_s = 0.3942 loss_D_t = 0.4728
Iter =   1580/ 10000, loss_seg = 0.2842 loss_adv = 0.0021, loss_weight = 0.0176, loss_D_s = 0.5286 loss_D_t = 0.4403
Iter =   1590/ 10000, loss_seg = 0.4778 loss_adv = 0.0022, loss_weight = 0.0175, loss_D_s = 0.5946 loss_D_t = 0.5184
Iter =   1600/ 10000, loss_seg = 0.4631 loss_adv = 0.0022, loss_weight = 0.0175, loss_D_s = 1.2892 loss_D_t = 0.4978
Iter =   1610/ 10000, loss_seg = 0.8019 loss_adv = 0.0021, loss_weight = 0.0175, loss_D_s = 0.7080 loss_D_t = 0.4806
Iter =   1620/ 10000, loss_seg = 1.6588 loss_adv = 0.0021, loss_weight = 0.0175, loss_D_s = 1.0977 loss_D_t = 0.4658
Iter =   1630/ 10000, loss_seg = 0.2909 loss_adv = 0.0022, loss_weight = 0.0175, loss_D_s = 0.3937 loss_D_t = 0.5807
Iter =   1640/ 10000, loss_seg = 0.2966 loss_adv = 0.0012, loss_weight = 0.0174, loss_D_s = 0.4587 loss_D_t = 0.5501
Iter =   1650/ 10000, loss_seg = 0.3485 loss_adv = 0.0027, loss_weight = 0.0174, loss_D_s = 0.7339 loss_D_t = 0.5966
Iter =   1660/ 10000, loss_seg = 1.1383 loss_adv = 0.0012, loss_weight = 0.0174, loss_D_s = 0.4879 loss_D_t = 0.5406
Iter =   1670/ 10000, loss_seg = 0.2914 loss_adv = 0.0012, loss_weight = 0.0174, loss_D_s = 0.5519 loss_D_t = 0.4938
Iter =   1680/ 10000, loss_seg = 0.4481 loss_adv = 0.0016, loss_weight = 0.0174, loss_D_s = 0.6602 loss_D_t = 0.5310
Iter =   1690/ 10000, loss_seg = 0.2454 loss_adv = 0.0018, loss_weight = 0.0173, loss_D_s = 0.4510 loss_D_t = 0.7573
Iter =   1700/ 10000, loss_seg = 0.2453 loss_adv = 0.0010, loss_weight = 0.0173, loss_D_s = 0.3823 loss_D_t = 0.5041
Iter =   1710/ 10000, loss_seg = 0.4147 loss_adv = 0.0028, loss_weight = 0.0173, loss_D_s = 0.3939 loss_D_t = 0.4420
Iter =   1720/ 10000, loss_seg = 0.3811 loss_adv = 0.0017, loss_weight = 0.0173, loss_D_s = 1.0314 loss_D_t = 0.5849
Iter =   1730/ 10000, loss_seg = 0.1167 loss_adv = 0.0016, loss_weight = 0.0173, loss_D_s = 0.3254 loss_D_t = 0.6704
Iter =   1740/ 10000, loss_seg = 0.4815 loss_adv = 0.0022, loss_weight = 0.0173, loss_D_s = 0.7416 loss_D_t = 0.3310
Iter =   1750/ 10000, loss_seg = 0.9469 loss_adv = 0.0025, loss_weight = 0.0172, loss_D_s = 0.9573 loss_D_t = 0.5158
Iter =   1760/ 10000, loss_seg = 0.3860 loss_adv = 0.0014, loss_weight = 0.0172, loss_D_s = 1.1329 loss_D_t = 0.4861
Iter =   1770/ 10000, loss_seg = 0.2610 loss_adv = 0.0025, loss_weight = 0.0172, loss_D_s = 0.5752 loss_D_t = 0.8511
Iter =   1780/ 10000, loss_seg = 0.2428 loss_adv = 0.0028, loss_weight = 0.0172, loss_D_s = 0.5090 loss_D_t = 0.4128
Iter =   1790/ 10000, loss_seg = 0.2612 loss_adv = 0.0020, loss_weight = 0.0172, loss_D_s = 0.3875 loss_D_t = 0.5276
Iter =   1800/ 10000, loss_seg = 0.2772 loss_adv = 0.0036, loss_weight = 0.0171, loss_D_s = 0.7676 loss_D_t = 0.2528
Iter =   1810/ 10000, loss_seg = 0.7096 loss_adv = 0.0031, loss_weight = 0.0171, loss_D_s = 0.3773 loss_D_t = 0.6598
Iter =   1820/ 10000, loss_seg = 0.3638 loss_adv = 0.0019, loss_weight = 0.0171, loss_D_s = 0.5967 loss_D_t = 0.7025
Iter =   1830/ 10000, loss_seg = 0.4038 loss_adv = 0.0034, loss_weight = 0.0171, loss_D_s = 0.9029 loss_D_t = 0.4523
Iter =   1840/ 10000, loss_seg = 0.2005 loss_adv = 0.0015, loss_weight = 0.0171, loss_D_s = 0.2901 loss_D_t = 0.4240
