DateTime: 27/01/2020 - 14:43:53
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =   1070/ 32000, loss_seg = 0.9041 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0194, loss_D_s = 0.7477 loss_D_t = 0.5335
Iter =   1080/ 32000, loss_seg = 1.2255 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.4978 loss_D_t = 0.6954
Iter =   1090/ 32000, loss_seg = 1.4610 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.6263 loss_D_t = 0.6966
Iter =   1100/ 32000, loss_seg = 0.5703 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0194, loss_D_s = 0.6038 loss_D_t = 0.5441
Iter =   1110/ 32000, loss_seg = 3.7785 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.6334 loss_D_t = 0.7315
Iter =   1120/ 32000, loss_seg = 0.5639 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.7933 loss_D_t = 0.6095
Iter =   1130/ 32000, loss_seg = 2.1753 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.6643 loss_D_t = 0.7237
Iter =   1140/ 32000, loss_seg = 0.8935 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0193, loss_D_s = 0.5562 loss_D_t = 0.5858
Iter =   1150/ 32000, loss_seg = 0.9168 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0193, loss_D_s = 0.7020 loss_D_t = 0.6244
Iter =   1160/ 32000, loss_seg = 1.3250 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0193, loss_D_s = 0.5096 loss_D_t = 0.7361
Iter =   1170/ 32000, loss_seg = 1.6722 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0193, loss_D_s = 0.8603 loss_D_t = 0.5641
Iter =   1180/ 32000, loss_seg = 0.5216 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0193, loss_D_s = 0.4404 loss_D_t = 0.6849
Iter =   1190/ 32000, loss_seg = 1.0649 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0193, loss_D_s = 1.0596 loss_D_t = 0.6338
Iter =   1200/ 32000, loss_seg = 0.4439 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0193, loss_D_s = 0.5510 loss_D_t = 0.6756
