time: 16/01/2020 - 00:10:57

Iter =   1140/ 50000, loss_seg = 0.3357 loss_adv = 0.0013, loss_weight = 0.0199, loss_D_s = 0.6276 loss_D_t = 0.3975
Iter =   1150/ 50000, loss_seg = 0.6911 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.4224 loss_D_t = 0.6943
Iter =   1160/ 50000, loss_seg = 0.5422 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.3980 loss_D_t = 0.4667
Iter =   1170/ 50000, loss_seg = 1.0310 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.8350 loss_D_t = 0.5266
Iter =   1180/ 50000, loss_seg = 0.2323 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.5507 loss_D_t = 0.6913
Iter =   1190/ 50000, loss_seg = 1.0600 loss_adv = 0.0013, loss_weight = 0.0199, loss_D_s = 0.8678 loss_D_t = 0.4093
Iter =   1200/ 50000, loss_seg = 0.7298 loss_adv = 0.0014, loss_weight = 0.0199, loss_D_s = 0.3692 loss_D_t = 0.3536
Iter =   1210/ 50000, loss_seg = 0.5430 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.7182 loss_D_t = 0.5106
Iter =   1220/ 50000, loss_seg = 0.5284 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.4972 loss_D_t = 0.5922
Iter =   1230/ 50000, loss_seg = 0.9927 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.5681 loss_D_t = 0.6000
Iter =   1240/ 50000, loss_seg = 0.4863 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.4362 loss_D_t = 0.4373
Iter =   1250/ 50000, loss_seg = 0.7290 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.4276 loss_D_t = 0.4978
Iter =   1260/ 50000, loss_seg = 0.5215 loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.5518 loss_D_t = 0.5815
Iter =   1270/ 50000, loss_seg = 0.3209 loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 0.3572 loss_D_t = 0.6716
Iter =   1280/ 50000, loss_seg = 0.9206 loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.9901 loss_D_t = 0.5025
Iter =   1290/ 50000, loss_seg = 0.5722 loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.3981 loss_D_t = 0.7279
Iter =   1300/ 50000, loss_seg = 0.5911 loss_adv = 0.0013, loss_weight = 0.0198, loss_D_s = 0.5250 loss_D_t = 0.4054
