DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  46430/ 48000, loss_seg = 0.4123 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.0959 loss_D_t = 0.1665
Iter =  46440/ 48000, loss_seg = 0.2116 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2744 loss_D_t = 0.3496
Iter =  46450/ 48000, loss_seg = 0.1770 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1459 loss_D_t = 0.1687
Iter =  46460/ 48000, loss_seg = 0.1629 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2272 loss_D_t = 0.2395
Iter =  46470/ 48000, loss_seg = 0.1226 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1556 loss_D_t = 0.4815
Iter =  46480/ 48000, loss_seg = 0.1169 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2567 loss_D_t = 0.4139
Iter =  46490/ 48000, loss_seg = 0.1518 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0007, loss_D_s = 0.0927 loss_D_t = 0.1821
Iter =  46500/ 48000, loss_seg = 0.0992 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2505 loss_D_t = 0.2735
Iter =  46510/ 48000, loss_seg = 0.1584 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1297 loss_D_t = 0.1253
Iter =  46520/ 48000, loss_seg = 0.0947 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1239 loss_D_t = 0.2860
Iter =  46530/ 48000, loss_seg = 0.1567 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1318 loss_D_t = 0.2286
Iter =  46540/ 48000, loss_seg = 0.4100 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1694 loss_D_t = 0.1623
Iter =  46550/ 48000, loss_seg = 0.0826 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2171 loss_D_t = 0.1937
Iter =  46560/ 48000, loss_seg = 0.0875 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.3168 loss_D_t = 0.2727
Iter =  46570/ 48000, loss_seg = 0.1692 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2762 loss_D_t = 0.2981
Iter =  46580/ 48000, loss_seg = 0.6825 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.4710 loss_D_t = 0.2775
Iter =  46590/ 48000, loss_seg = 0.1096 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.1819 loss_D_t = 0.5383
Iter =  46600/ 48000, loss_seg = 0.1001 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0006, loss_D_s = 0.2266 loss_D_t = 0.3793
